排名,电影名,描述,评分,总评论数
129,东邪西毒,导演: 王家卫 Kar Wai Wong   主演: 张国荣 Leslie Cheung / 张曼玉 Maggie C...                            1994 / 香港 台湾 / 剧情 动作 爱情 武侠 古装,8.6,246672人评价
130,记忆碎片,导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 盖·皮尔斯 Guy Pearce /...                            2000 / 美国 / 犯罪 剧情 悬疑 惊悚,8.5,276179人评价
131,虎口脱险,导演: 杰拉尔·乌里 Gérard Oury   主演: 路易·德·菲耐斯 Louis de Funès...                            1966 / 法国 英国 / 喜剧 战争,8.9,106094人评价
132,喜宴,导演: 李安   主演: 赵文瑄 / 归亚蕾 / 金素梅                            1993 / 台湾 美国 / 剧情 喜剧 爱情 同性 家庭,8.8,137218人评价
133,疯狂原始人,导演: 科克·德·米科 Kirk De Micco / 克里斯·桑德斯 Chris Sanders   主演...                            2013 / 美国 / 喜剧 动画 冒险,8.7,365468人评价
134,小森林 夏秋篇,导演: 森淳一 Junichi Mori   主演: 桥本爱 Ai Hashimoto / 三浦贵大 Takahir...                            2014 / 日本 / 剧情,8.9,125605人评价
135,怪兽电力公司,导演: 彼特·道格特 Pete Docter / 大卫·斯沃曼 David Silverman   主演: 约...                            2001 / 美国 / 喜剧 动画 儿童 奇幻,8.6,235410人评价
136,喜剧之王,导演: 周星驰 Stephen Chow / 李力持 Lik-Chi Lee   主演: 周星驰 Stephen Ch...                            1999 / 香港 / 喜剧 剧情 爱情,8.5,306329人评价
137,卢旺达饭店,导演: 特瑞·乔治 Terry George   主演: 唐·钱德尔 Don Cheadle / 苏菲·奥...                            2004 / 英国 南非 意大利 美国 / 剧情 历史 战争,8.8,117505人评价
138,黑天鹅,导演: 达伦·阿罗诺夫斯基 Darren Aronofsky   主演: 娜塔丽·波曼 Natalie P...                            2010 / 美国 / 剧情 惊悚,8.5,411601人评价
139,猜火车,导演: 丹尼·博伊尔 Danny Boyle   主演: 伊万·麦克格雷格 Ewan McGregor / ...                            1996 / 英国 / 犯罪 剧情,8.5,245990人评价
140,穿越时空的少女,导演: 细田守 Mamoru Hosoda   主演: 仲里依纱 Riisa Naka / 石田卓也 Takuya...                            2006 / 日本 / 剧情 爱情 科幻 动画,8.6,183028人评价
141,魂断蓝桥,导演: Mervyn LeRoy   主演: Vivien Leigh / Robert Taylor / Lucile Watson                            1940 / 美国 / 剧情 战争 爱情,8.8,127741人评价
142,恋恋笔记本,导演: 尼克·卡索维茨 Nick Cassavetes   主演: 瑞恩·高斯林 Ryan Gosling /...                            2004 / 美国 / 剧情 爱情,8.5,276871人评价
143,雨中曲,导演: Stanley Donen / Gene Kelly   主演: Gene Kelly / Donald O'Connor / ...                            1952 / 美国 / 喜剧 歌舞 爱情,8.9,91877人评价
144,傲慢与偏见,导演: 乔·怀特 Joe Wright   主演: 凯拉·奈特莉 Keira Knightley / 马修·...                            2005 / 法国 英国 美国 / 剧情 爱情,8.4,295943人评价
145,教父3,导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola   主演: 阿尔·帕西诺 A...                            1990 / 美国 / 剧情 犯罪,8.7,127374人评价
146,完美的世界,导演: 克林特·伊斯特伍德 Clint Eastwood   主演: 凯文·科斯特纳 Kevin Cos...                            1993 / 美国 / 剧情 犯罪,9.0,78107人评价
147,纵横四海,导演: 吴宇森 John Woo   主演: 周润发 Yun-Fat Chow / 张国荣 Leslie Cheung...                            1991 / 香港 / 剧情 喜剧 动作 犯罪,8.7,141150人评价
